event_type,city,guest_count,total_budget,venue,catering,decoration,photography,entertainment,accommodation,transportation
conference,Delhi,712,1904330,762494.3968546395,521229.0622419754,,,305202.6897429952,223001.3370882602,92402.51407212995
anniversary,Kolkata,31,365517,97330.34568272973,100369.93149084406,70403.72281323558,63471.60161782014,33941.398395370445,,
corporate,Mumbai,164,265953,86390.60634094928,68919.8220157073,,,44664.423801980534,36260.179268446445,29717.96857291642
anniversary,Bangalore,65,160692,40443.9401920252,41549.284937212935,34845.786320203464,30067.4841013766,13785.504449181819,,
corporate,Bangalore,145,396582,122564.50672327739,125864.65328877889,,,68179.83741738866,45890.87432141338,34082.1282491417
wedding,Delhi,372,3831869,1247798.5775603212,1026654.3508245596,533623.130354143,571449.0233708628,246730.22120686478,,205613.6966832484
conference,Bangalore,895,4598502,1842582.5360523888,1221721.6838671577,,,651494.113045015,675674.8043257442,207028.86270969457
birthday,Hyderabad,199,270184,68137.35388661746,82921.10903114676,45627.31622684388,15073.13050420911,58425.090351182815,,
corporate,Mumbai,182,1089465,365293.82387628144,297737.123979648,,,166744.387674406,116129.48785247207,143560.17661719266
corporate,Hyderabad,279,2505276,781568.3487019399,811183.3719117648,,,271857.51471712434,305683.5592541733,334983.20541499753
conference,Chennai,521,4165060,1700127.5438157988,899685.1888180653,,,519379.01990373473,686926.2444168566,358942.0030455445
wedding,Chennai,169,3115075,997214.1044173395,771388.2639396365,529999.4213665375,428326.38707371143,232729.46308137118,,155417.36012140376
party,Delhi,170,136188,30308.17442590099,38703.91627546564,22268.58613957148,10368.05748576317,34539.2656732987,,
wedding,Delhi,508,2887312,923012.2981020241,609275.9116947987,277335.1747020788,537932.3804517869,402753.83984324866,,137002.3952060631
conference,Ahmedabad,312,2034837,861437.5956152402,397609.6870520353,,,297920.9852361308,377575.01300432347,100293.71909227029
wedding,Bangalore,242,2373421,693400.3196821446,616660.7851351345,446182.1796829001,371822.2310275526,128010.64064004233,,117344.84383222571
party,Hyderabad,185,73959,18106.37455882712,20695.744650799043,10762.057256342803,3876.072300016204,20518.75123401482,,
anniversary,Hyderabad,129,227016,72984.21601218366,56486.32047951998,42625.90758696774,27415.108674168245,27504.447247160402,,
anniversary,Ahmedabad,42,182844,54126.53803119534,44789.63084232968,38874.82230005187,27384.701446160965,17668.307380262144,,
corporate,Mumbai,335,678007,272343.82122029824,179297.2382946161,,,72302.1429025115,92321.57362620227,61742.22395637185
wedding,Delhi,381,2135156,559198.3246413791,576478.3319588786,356830.7106978637,357566.41499855474,188029.19617801052,,97053.02152531355
wedding,Chennai,808,1823483,526750.0875411392,451030.3011887064,266254.12755954155,234111.3951403762,217454.8194275974,,127882.26914263892
wedding,Chennai,100,1587341,518282.7912032284,391058.34084282635,250839.8659813189,184358.71896585106,167775.9305853664,,75025.35242140866
corporate,Mumbai,167,2883317,1050908.1383123393,770146.1368329538,,,498217.03700642986,161394.68391115882,402651.00393711845
birthday,Bangalore,66,497087,108861.20263676796,147724.70649989884,81180.0986588234,63105.3310903062,96215.66111420364,,
anniversary,Mumbai,79,106949,32487.412094719293,25152.067466044937,20370.622325231612,20020.335319913458,8918.5627940907,,
party,Bangalore,108,147239,32580.59301295628,42444.23962787071,26503.40251728483,6797.415271134657,38913.34957075352,,
wedding,Mumbai,951,2354971,670456.0190966406,675190.6440899832,301057.33173057,338184.81738135515,256796.40524229428,,113285.78245915686
birthday,Kolkata,170,460360,112070.4410487542,139658.600881388,86414.2834657742,35910.22354969596,86306.45105438762,,
wedding,Delhi,160,2450367,789344.1114124325,598356.1249041618,374866.0518885491,342716.55168278393,198490.6655247575,,146593.49458731493
wedding,Chennai,445,2745131,1005463.7789554117,630595.8762266978,391490.4373692906,394013.3407660974,175453.3328138139,,148114.23386868823
party,Kolkata,136,236717,67041.67346265254,58783.44848810386,41457.05111447666,17174.5201258477,52260.306808919275,,
conference,Hyderabad,402,2067438,813028.6703728084,521897.16538809886,,,339929.4686229249,287553.044351345,105029.65126482278
conference,Mumbai,982,2578007,1019685.5554927045,700677.8175833614,,,365845.65815606155,370791.4471503893,121006.52161748303
corporate,Pune,420,1878050,697447.9813287625,595657.8784815252,,,296250.6700358884,176827.34627368284,111866.1238801413
party,Mumbai,73,295885,69161.8637744632,88044.36484125763,41967.06541241631,20093.79684921126,76617.90912265162,,
corporate,Kolkata,160,1123875,406779.01739175204,332856.431519161,,,172705.37453088304,95660.4889980645,115873.68756013933
conference,Pune,837,1072735,401403.28994149045,267817.91229862673,,,142616.42398112867,207296.22115301064,53601.152625743496
conference,Pune,602,1025893,399815.7054350275,285821.4593707649,,,109071.03893253484,181055.0602153418,50129.736046330974
wedding,Kolkata,342,4168866,945575.2953370009,1012682.5157215052,712158.5084743812,749949.8186055875,404026.82791755477,,344473.0339439706
party,Pune,123,175808,36707.61176376744,53578.695557754254,26323.35650032298,9665.418332199388,49532.917845955955,,
birthday,Chennai,152,409723,97546.76820843037,125942.05495438802,67242.60557437516,33113.04135152369,85878.52991128279,,
wedding,Mumbai,419,1364909,355275.5716672487,344127.42829423357,181344.9119424904,265295.9089511611,150207.3272985781,,68657.8518462882
corporate,Chennai,221,603081,224114.29255488256,222913.2051996831,,,76148.44379083691,35188.68902533203,44716.36942926541
wedding,Delhi,649,2690222,713051.2236400278,575190.555050703,448281.84204715985,472502.84542345133,358755.59898925613,,122439.93484940173
birthday,Bangalore,95,246513,56630.04374698953,81555.83787998442,24946.59231726352,30502.416464993603,52878.109590768916,,
birthday,Bangalore,33,108596,29862.755718203684,35469.3008919225,13181.164967659985,12093.840320194877,17988.93810201894,,
party,Hyderabad,71,198056,47265.062620313736,65522.62357316829,27202.866422950923,9877.982670045889,48187.46471352116,,
party,Bangalore,92,268134,66693.26651036915,72808.84838825617,36878.361008196116,14484.764647404088,77268.75944577451,,
birthday,Kolkata,153,379650,85965.39327893329,119047.30271880481,42994.5944463969,50803.15162669754,80839.55792916747,,
wedding,Hyderabad,519,4302010,1383161.896352496,1088437.3034117748,703335.9434779836,675025.1068550643,254324.84262303472,,197724.90727964704
corporate,Mumbai,167,1423520,554888.4135023203,379092.32152118033,,,268125.0962911099,130295.94225599346,91118.22642939576
conference,Ahmedabad,146,626108,248293.62620473374,176067.66954218395,,,64294.308810367525,101531.76912574643,35920.62631696844
corporate,Delhi,118,1903194,708521.8031512183,640438.6592964926,,,248564.85806309758,171001.54562387057,134667.13386532076
corporate,Pune,267,333515,118494.58400490058,99319.21411995737,,,53244.94196273514,45337.09756746952,17119.162344937384
anniversary,Hyderabad,141,923651,279728.019048121,255737.96063675667,193147.9303686204,100854.76366136874,94182.32628513317,,
corporate,Bangalore,100,1499445,525549.0015109912,483060.3754835272,,,270840.54932508856,86254.90502637597,133740.16865401703
conference,Mumbai,519,4827021,1662277.2231360506,1339503.6616882924,,,857538.0402705476,696542.0316449297,271160.04326018045
conference,Kolkata,408,818408,331225.81882153533,242067.71387596766,,,86764.78508605434,115167.31140839167,43182.370808051
wedding,Mumbai,309,3261089,931826.6510961138,912325.6027436984,322873.76361175685,496126.5843213925,441633.54470878217,,156302.85351825584
wedding,Kolkata,600,4608997,1548091.0173389628,1070970.9546468623,739972.9754309085,716546.1335782987,232606.95864559166,,300808.96035937587
wedding,Hyderabad,788,519816,159930.1308256605,149641.98785005038,61960.21631065529,80300.74570689678,41827.51257945245,,26155.40672728466
party,Kolkata,152,183554,50174.99331235415,51063.96587106045,29121.25252615819,8960.51780402195,44233.270486405265,,
birthday,Mumbai,97,476752,126184.90350323384,140764.59227554416,68860.30336462913,46354.131318625165,94588.06953796772,,
birthday,Kolkata,148,377299,89572.52806927943,98825.40375861221,48819.87197635004,53621.216891343916,86459.97930441439,,
corporate,Hyderabad,337,1985910,788835.4407634576,670583.9028371453,,,218034.385096622,155194.3001405271,153261.97116224808
birthday,Kolkata,91,295756,65688.80084556536,103021.07619118407,51597.5795434311,23045.55102668152,52402.99239313797,,
corporate,Delhi,137,234911,79683.35331031326,71836.10207583373,,,39179.90267053221,25005.44489093982,19206.197052380954
conference,Pune,922,1268734,606100.4936724122,277522.3526972958,,,149653.5486813261,166525.14406654204,68932.4608824239
conference,Delhi,384,4839235,1811901.8207640576,1336564.575590557,,,839753.3233559837,619989.31034051,231025.96994889172
corporate,Delhi,168,2137878,713673.7064379415,682245.8726560585,,,307784.71543561405,204429.58374417305,229744.1217262126
anniversary,Delhi,115,881817,277658.3930595048,178987.5248049173,174884.8790737303,168077.5738104506,82208.62925139695,,
wedding,Mumbai,308,4730258,1353514.5968554267,1242520.7284444582,614939.5983852547,798553.3621986425,312559.9940030528,,408169.72011316475
anniversary,Mumbai,58,338009,100401.24021487459,85392.91184400208,57060.8560180019,71939.01428909805,23214.97763402339,,
anniversary,Bangalore,63,655941,205414.78810064617,178326.52739637258,156691.39733948998,81140.25105762803,34368.036105863175,,
conference,Delhi,745,4251198,1766751.1730862276,939581.1929110565,,,681746.7115888755,623793.7000859947,239325.22232784578
wedding,Mumbai,575,863476,277174.113808302,205241.17624374342,165972.32072973426,114725.85336310585,57992.98164587238,,42369.55420924199
birthday,Mumbai,168,103276,26584.060776456387,27522.15501113645,16131.145575679206,10404.738553608453,22633.90008311951,,
party,Mumbai,140,234374,70058.62534430673,62491.24390796182,30116.999418548334,12802.819891502917,58904.31143768021,,
birthday,Delhi,100,475203,120987.77691181676,150090.20898106546,85828.2437031931,29399.121305829114,88897.64909809559,,
wedding,Ahmedabad,316,3438496,1170287.9161584182,948771.7357456934,392880.224275066,533006.963606372,210972.70125864126,,182576.45895580912
birthday,Pune,117,70581,14167.71595282458,18960.830735318636,13217.888323227577,8690.314310000302,15544.250678628907,,
wedding,Kolkata,417,3797291,1144284.9697753973,912733.1091934685,582052.8828183807,542317.0977138289,405047.3863156257,,210855.5541832988
wedding,Mumbai,754,1275435,405384.87137496343,260457.333882499,132560.490304934,212001.92026561295,138158.92769003514,,126871.45648195526
corporate,Chennai,299,2578837,952189.4799172751,753197.5107530499,,,497535.3889149697,176845.98124285904,199068.63917184644
birthday,Kolkata,101,280876,77707.83604761117,72324.12785185465,43097.38235902918,32400.055414572624,55346.59832693236,,
party,Kolkata,137,102375,22952.283005422454,27892.050739933708,14502.34348491792,7844.625022028969,29183.69774769696,,
anniversary,Kolkata,149,550062,156827.16120617097,143991.5925246712,93841.29268175991,83890.33047597326,71511.62311142473,,
corporate,Hyderabad,499,2508989,772774.5288355706,861104.9783116824,,,260947.88514699208,262907.0901575671,351254.51754818746
birthday,Delhi,65,89974,20884.616887980985,29026.94208056845,13147.777268465963,10017.18691489043,16897.47684809417,,
anniversary,Kolkata,39,503832,142145.83197316082,128141.9178834384,110928.25054269393,95009.17560150754,27606.823999199307,,
conference,Pune,769,1049239,421126.1576535473,262723.94791097724,,,153742.8359417822,123572.70655891135,88073.35193478203
wedding,Kolkata,443,4817048,1180538.245856294,1329870.3914348972,566322.1694694696,808780.9727192551,489659.16389153677,,441877.0566285473
party,Ahmedabad,91,287578,71947.00037809587,73423.22495419806,33907.82053333278,25953.328125132128,82346.62600924115,,
party,Chennai,139,114754,28148.948446132807,33775.25853077044,14971.731495258902,9837.620539158803,28020.440988679038,,
party,Chennai,83,232020,58501.83413279771,66672.56246835906,39306.74721915812,9851.770285559855,57687.08589412524,,
corporate,Delhi,387,2029553,780243.7715216096,560247.3484790046,,,383329.16190348216,152800.60477053316,152932.11332537033
wedding,Bangalore,456,2175843,552352.387761806,613305.2096691362,240746.06699898408,269751.4011598355,295999.31083791103,,203688.62357232708
anniversary,Mumbai,108,915624,301749.1677851773,243949.30513827165,151770.27214641028,134696.35213916888,83458.90279097206,,
birthday,Chennai,109,382975,88253.89751916389,120644.97110280032,66017.1647145516,51973.61621964913,56085.35044383505,,
corporate,Ahmedabad,273,602732,198064.7138450483,191892.77633637915,,,88514.17581375579,58797.24816421176,65463.085840604945
conference,Chennai,435,2866610,1043684.8600620532,715436.6844481067,,,468651.9801866347,428763.5507589037,210072.92454430176
wedding,Chennai,455,2446793,707673.7465099164,624645.0939683353,426806.2594015888,262910.09560079005,311298.0526161161,,113459.75190325349
corporate,Mumbai,412,2824159,916280.6550591271,967386.0892179417,,,284116.9060042277,356632.0089381253,299743.3407805781
anniversary,Kolkata,125,175713,50659.817090142475,45608.44411488545,40382.10897235515,21875.501925738557,17187.127896878337,,
conference,Delhi,513,1100530,399892.4676500071,276440.1734927702,,,209141.92000821233,158227.14797347458,56828.29087553588
conference,Chennai,583,2156671,833973.4361309919,537844.7671654989,,,399281.16746111907,249490.667291472,136080.96195091837
wedding,Pune,309,2542999,748680.2241689124,660290.1038912488,388526.0048819526,437207.1250613774,139916.34516518723,,168379.19683132166
conference,Delhi,178,3677326,1720412.9257809555,897299.7246018146,,,398765.81021407666,461669.6838840683,199177.855519085
anniversary,Bangalore,42,713474,220658.03413345478,166241.2928146361,153011.62963606577,85414.0822356242,88148.96118021915,,
party,Hyderabad,56,184165,48002.96332936388,57964.600171593745,28976.471221363154,15222.818969355194,33998.14630832402,,
conference,Delhi,552,1910706,814611.1329186879,437707.4237550708,,,344103.92274624185,223447.74965579223,90835.7709242071
wedding,Bangalore,623,844855,274094.60948147747,221184.7722268542,103744.34028902676,138108.4821469442,62976.312490134,,44746.483365563414
birthday,Pune,150,397697,104382.68653028601,104284.53453756636,73431.87606501122,25582.84268241872,90015.06018471775,,
wedding,Pune,554,1018349,283399.27677433926,289917.4840849658,129601.43251847062,154407.22610360166,107046.58627766169,,53976.99424096097
party,Chennai,159,99268,29004.178286116545,29136.914135816958,10488.151078098439,5183.836559433256,25454.91994053482,,
corporate,Pune,144,588590,190552.36522893512,161630.54911562506,,,89957.52498772427,72077.1825905602,74372.37807715533
birthday,Pune,107,119298,29024.29209626125,35203.61150480809,13773.752604335006,13286.68869469521,28009.655099900436,,
anniversary,Hyderabad,103,397632,121664.14108707749,109238.2371804929,58399.90189028174,56982.10829543931,51347.61154670853,,
party,Bangalore,145,269724,63270.25417132152,75729.30138268853,32224.368609177447,18601.463948014036,79898.61188879846,,
corporate,Mumbai,477,2306230,722102.9680905881,729513.9642239594,,,396915.52913142514,334053.94217731495,123643.59637671274
wedding,Mumbai,789,864359,252013.5693259036,224445.41328632037,119696.66696409539,130006.81017392022,93604.44921804371,,44592.09103171674
party,Mumbai,183,131941,35012.272915250185,35856.92240279062,20302.64448104863,10229.266047652645,30539.894153257923,,
anniversary,Kolkata,42,734379,215803.11389526512,189470.43463016214,132484.29163957573,106492.20469268678,90128.95514231022,,
conference,Kolkata,794,764500,305100.7423385692,186114.8048594422,,,87893.68780312796,142341.96804684572,43048.79695201487
wedding,Delhi,854,1890281,641458.036594798,417966.3286816321,253677.01146711234,207884.55421395294,194162.86654287885,,175132.2024996258
corporate,Chennai,453,2528599,859148.3599725016,766003.3213200839,,,418527.2828090439,247012.40739243495,237907.62850593546
birthday,Ahmedabad,183,246200,50357.598516895465,71849.60554500895,39646.073738092404,32083.54297424525,52263.17922575794,,
corporate,Delhi,235,2577074,950218.4371859859,658354.2890672152,,,394179.3321334996,299493.3306350259,274828.61097827327
birthday,Mumbai,119,69975,20399.54685255689,18791.23754755948,13824.378483263277,4775.340651444486,12184.49646517586,,
conference,Pune,652,888076,330203.58996053133,252968.63322740287,,,127359.36864174096,133484.73005011125,44059.678120213466
corporate,Kolkata,194,2080901,698625.535432055,714763.1264918678,,,259198.76404200355,170004.42018902465,238309.15384504906
anniversary,Ahmedabad,74,853315,242570.42140559226,198049.07054834743,211257.42566941914,127800.10956673199,73637.97280990916,,
conference,Mumbai,460,3757181,1476385.3135579678,844585.0221997343,,,607376.6022926015,641041.1901528145,187792.87179688184
anniversary,Hyderabad,136,316184,92818.90435639441,76397.00399471045,56631.73905534971,52890.17857575679,37446.17401778865,,
anniversary,Kolkata,35,560494,174809.65011655158,136439.6138146558,114333.87489097494,68292.61923070041,66618.2419471173,,
anniversary,Mumbai,30,258492,68940.57611462993,64473.275072995,63991.499747152535,34604.40756090194,26482.241504320595,,
party,Hyderabad,49,169273,45761.51395905604,53092.974713470765,29905.90015733473,9792.674268911484,30719.93690122697,,
wedding,Kolkata,594,1867223,616296.1932531814,477795.3041991322,229600.32749644388,312508.6421257664,129045.15841790884,,101977.37450756758
corporate,Mumbai,424,2248891,792646.6571979553,673830.9874037299,,,433830.018996674,184116.77433760135,164466.56206403926
party,Kolkata,84,98320,29446.478803614275,28415.03719741793,12299.52729327866,8213.97656928598,19944.980136403163,,
wedding,Hyderabad,913,3027576,897594.7212542716,682805.90802849,479647.6988980611,509588.67079946125,306395.4943125394,,151543.50670717703
party,Hyderabad,92,250641,67199.7447314542,65613.7198668815,40231.3879303951,12798.49469299817,64797.65277827101,,
wedding,Delhi,480,1019777,291872.1569878557,261523.15713109338,169962.0742277999,128556.79262861691,123168.3173714263,,44694.501653207895
conference,Delhi,443,3387296,1284267.0691454904,896032.7843764039,,,449316.5665919414,551407.8204745337,206271.75941163074
conference,Delhi,404,3860160,1628155.4600261403,983737.7405326188,,,408344.9249956403,638700.7338951486,201221.1405504524
party,Mumbai,38,75537,17552.500170484174,24806.818726792502,10909.948439694252,3687.831971405896,18579.900691623166,,
corporate,Bangalore,182,1543499,505140.5443798733,457782.01679722586,,,227927.39582366435,187989.74247894515,164659.30052029126
party,Pune,137,240961,76375.18982039769,65074.92793140171,26036.944294428213,16731.723134260927,56742.214819511435,,
anniversary,Kolkata,65,418232,145147.06122797882,87259.62727701105,103106.99539777753,57246.01207763928,25472.30401959333,,
conference,Hyderabad,472,4439311,1691326.3411564045,1031046.5887356034,,,805708.7447271536,687796.9427135516,223432.38266728722
anniversary,Pune,31,470321,142200.3139144117,123784.34284416185,83182.108913764,60577.924824714355,60576.30950294815,,
corporate,Kolkata,120,263646,85880.81127314115,85832.04887667017,,,30889.160671640977,24094.828524761226,36949.15065378652
party,Kolkata,158,109189,28314.703091259893,36104.51926983593,11960.291928549865,7610.822828213169,25198.66288214116,,
conference,Pune,620,3829049,1532880.4895404465,803950.9539330639,,,503038.31345419865,704552.9164613229,284626.326610968
wedding,Mumbai,711,1997618,593002.0525100433,541041.1015687435,329356.4023109925,222200.01701261642,193040.60009460046,,118977.82650300395
wedding,Delhi,325,1011083,325687.5971738783,277754.69062112115,143762.5886772775,129101.64218918732,80000.25654818892,,54776.22479034681
birthday,Mumbai,97,255768,73141.85671400433,71097.65189009203,35418.57604160945,30486.1612062348,45623.75414805941,,
corporate,Delhi,423,1635177,572264.9230800809,535516.4993121632,,,168704.01987628377,219006.2633849875,139685.29434648476
anniversary,Mumbai,71,396037,126235.79907889252,102775.4213776955,65421.043938493465,60987.51000851152,40617.225596406955,,
wedding,Ahmedabad,169,903322,276968.8122608537,200758.88106014847,103571.1966032601,147366.98088948466,126150.14483610059,,48505.9843501524
conference,Ahmedabad,661,4859879,2125405.7330100816,1134274.5219868103,,,740745.9302837499,605225.7032261295,254227.1114932283
anniversary,Mumbai,110,749829,263560.2070895922,184455.6518082174,138251.65709184052,119168.25774823486,44393.226262115044,,
conference,Chennai,386,1335036,563567.6850686623,287487.1567081923,,,186690.11708294303,188439.993282805,108851.04785739725
anniversary,Bangalore,41,408623,136352.1472310837,96935.7027426637,73734.29233990544,43861.166705609656,57739.69098073748,,
party,Chennai,137,243783,57255.313354432634,80934.20495695481,32078.27410744281,20106.27334799912,53408.93423317059,,
wedding,Chennai,649,4705003,1487916.9583878666,1154337.7114915764,686723.1902236824,625339.9122844399,470928.391453187,,279756.83615924796
corporate,Delhi,498,592136,200422.23273628348,175651.2581001684,,,87747.52115856046,61583.192108703486,66731.79589628411
birthday,Pune,162,115450,32592.022550114834,36505.330686653535,21028.970548714104,6713.7589122955205,18609.917302222,,
corporate,Chennai,265,2243037,798263.8321287305,727971.2429287423,,,257903.98857834574,298005.3963576523,160892.5400065294
conference,Delhi,565,4615362,1863714.1765031617,1075850.6638260363,,,808121.3255094647,658613.7779252138,209062.056236124
wedding,Hyderabad,881,4374910,1053267.18560089,1156655.8624398906,525808.4566226903,730061.0927711244,579791.2657070511,,329326.13685835403
conference,Chennai,491,3369729,1400266.9649389822,882104.8734953994,,,433835.9532673613,380128.4329271237,273392.7753711341
anniversary,Chennai,107,829630,294111.3141120594,198427.70860986202,204847.7785507066,87144.53227617047,45098.66645120156,,
corporate,Hyderabad,336,2521046,783140.4211317188,839269.3821683254,,,373439.4492268293,382409.845251443,142786.9022216831
conference,Kolkata,556,2561774,1064525.9727631006,587921.3180133763,,,291061.88522799214,482840.5684310493,135424.25556448134
anniversary,Bangalore,33,721827,232498.3258701237,187103.25889061432,140642.72620452082,86853.90603993266,74728.78299480845,,
anniversary,Pune,79,349062,96362.12250721772,105735.43613095462,71420.01979907334,43758.65996187584,31785.761600878446,,
anniversary,Pune,100,724141,236251.31146404962,202328.36571347428,110397.5539045171,103465.71975813026,71698.04915982869,,
party,Pune,178,254366,72774.70142591343,69527.07279293353,32038.647778020837,13182.438455610927,66843.13954752128,,
corporate,Chennai,230,1436180,524634.1995928198,477441.66906853137,,,205332.49905841594,144624.49570328867,84147.13657694438
conference,Hyderabad,282,2193439,839360.3129710715,489276.71124907007,,,428890.0931007271,286012.07162752096,149899.81105161045
birthday,Bangalore,199,340524,97928.59383455513,99052.83741404448,38805.65326565442,20621.19655984888,84115.71892589703,,
wedding,Bangalore,229,3226016,950209.3278565226,729305.1395433594,335893.7070143815,595455.9796837614,453419.7657452877,,161732.0801566872
birthday,Kolkata,27,274033,77546.1613732099,84016.16622625952,28570.43432236951,27278.21107346786,56622.0270046932,,
birthday,Chennai,191,80111,21106.616342282156,26718.91645428559,9113.95952091799,10219.029969963427,12952.477712550835,,
conference,Delhi,582,4555447,1590479.7802822243,1338869.7210034104,,,786841.2759107817,612828.1680471239,226428.05475645995
birthday,Hyderabad,154,284706,75983.06365868259,77920.92370094171,42295.69992551604,36316.01927249164,52190.29344236801,,
corporate,Pune,417,2718638,1023535.5169960025,721103.3127232965,,,456382.71345287625,227502.1137600815,290114.3430677431
corporate,Delhi,341,1457008,521195.80267734657,472121.51017531735,,,237010.49056371246,78136.01373099825,148544.18285262544
corporate,Mumbai,189,1203171,417380.38248931407,314020.9195353275,,,178518.628997745,122627.3405894431,170623.72838817057
anniversary,Mumbai,39,813226,235640.9688144855,243097.75745909315,143182.4494164715,113921.17416327409,77383.65014667573,,
